image_id,image_path,alpha,rotation_gt_deg,rotation_gt_mod180_deg,rotation_hat_deg,rotation_hat_display_deg,rotation_error_deg,corr_shift_deg,corr_shift_display_deg,corr_shift_full_deg,corr_shift_full_deg_int,peak_refine_delta,corr_period_deg,best_score,top2_score,corr_margin,ambiguity_resolved,candidate_score_0,candidate_score_180,diff_corr_shift_deg,diff_rotation_hat_deg,diff_rotation_error_deg,diff_rot_corr_shift_deg,diff_rot_rotation_hat_deg,diff_rot_rotation_error_deg,theta_gt,raw_theta_shift,theta_attack_hat,theta_hat_raw,theta_hat,angle_sign,angle_error,angle_error_mod180,diff_theta_hat,diff_angle_error,diff_best_score,diff_corr_margin,diff_rot_theta_shift,diff_rot_attack_hat,diff_rot_attack_error,diff_rot_theta_hat,diff_rot_angle_error,diff_rot_best_score,diff_rot_corr_margin,psnr_anchor,ssim_anchor,psnr_clean,ssim_clean,vae_mse_anchor,vae_mse_clean,vae_mse_symmetric,vae_mse_clean_canonical,vae_mse_clean_predcorr,vae_mse_clean_oraclecorr,vae_mse_symmetric_canonical,vae_mse_symmetric_predcorr,vae_mse_symmetric_oraclecorr,vae_mse_roundtrip_oracle,vae_mse_anchor_removed_extra,vae_cos_anchor,vae_cos_clean,vae_cos_symmetric,vae_cos_clean_canonical,vae_cos_clean_predcorr,vae_cos_clean_oraclecorr,vae_cos_symmetric_canonical,vae_cos_symmetric_predcorr,vae_cos_symmetric_oraclecorr,vae_cos_roundtrip_oracle,runtime_ms
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,5.0,5.0,4.0,4.0,1.0,176.0,-4.0,176.0,176.0,0.0,180.0,175.8726348876953,175.8726348876953,0.0,False,nan,nan,0.0,0.0,0.0,175.0,5.0,0.0,5.0,176.0,4.0,176.0,4.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,175.0,5.0,0.0,5.0,0.0,256.17962646484375,0.0,46.80889838116799,0.9996652632363161,19.38764584040758,0.817380603114608,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,692.1204812824726
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,10.0,10.0,10.0,10.0,0.0,170.0,-10.0,170.0,170.0,0.0,180.0,157.83920288085938,157.83920288085938,0.0,False,nan,nan,0.0,0.0,0.0,171.0,9.0,1.0,10.0,170.0,10.0,170.0,10.0,raw,0.0,0.0,0.0,0.0,258.4408264160156,0.0,171.0,9.0,1.0,9.0,1.0,253.4144287109375,0.0,46.80889838116799,0.9996652632363161,24.855640179674154,0.9470854353665511,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,480.2915547043085
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,15.0,15.0,14.0,14.0,1.0,166.0,-14.0,166.0,166.0,0.0,180.0,160.55426025390625,160.55426025390625,0.0,False,nan,nan,0.0,0.0,0.0,165.0,15.0,0.0,15.0,166.0,14.0,166.0,14.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,165.0,15.0,0.0,15.0,0.0,251.90989685058594,0.0,46.80889838116799,0.9996652632363161,18.920133987196202,0.7973338042133066,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,507.37759098410606
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,30.0,30.0,29.0,29.0,1.0,151.0,-29.0,151.0,151.0,0.0,180.0,135.3804931640625,135.3804931640625,0.0,False,nan,nan,0.0,0.0,0.0,150.0,30.0,0.0,30.0,151.0,29.0,151.0,29.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,150.0,30.0,0.0,30.0,0.0,244.09812927246094,0.0,46.80889838116799,0.9996652632363161,18.108644145479783,0.7654384438022844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,475.61725229024887
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,45.0,45.0,44.0,44.0,1.0,136.0,-44.0,136.0,136.0,0.0,180.0,132.0249481201172,132.0249481201172,0.0,False,nan,nan,0.0,0.0,0.0,135.0,45.0,0.0,45.0,136.0,44.0,136.0,44.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,135.0,45.0,0.0,45.0,0.0,243.38462829589844,0.0,46.80889838116799,0.9996652632363161,18.07717912997683,0.7617747853713194,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,457.6932657510042
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,60.0,60.0,58.999999999999986,59.0,1.0000000000000142,121.00000000000001,-59.0,121.00000000000001,121.00000000000001,0.0,180.0,127.76123809814453,127.76123809814453,0.0,False,nan,nan,0.0,0.0,0.0,120.0,60.0,0.0,60.0,121.00000000000001,58.999999999999986,121.00000000000001,58.999999999999986,raw,1.0000000000000142,1.0000000000000142,0.0,0.0,258.4408264160156,0.0,120.0,60.0,0.0,60.0,0.0,248.25352478027344,0.0,46.80889838116799,0.9996652632363161,18.076839613413647,0.7632824891989501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,462.9889205098152
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,75.0,75.0,75.0,75.0,0.0,105.0,-75.0,105.0,105.0,0.0,180.0,163.4685516357422,163.4685516357422,0.0,False,nan,nan,0.0,0.0,0.0,106.0,74.0,1.0,75.0,105.0,75.0,105.0,75.0,raw,0.0,0.0,0.0,0.0,258.4408264160156,0.0,106.0,74.0,1.0,74.0,1.0,258.96209716796875,0.0,46.80889838116799,0.9996652632363161,23.045804209239897,0.9204940475106644,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,461.87144331634045
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,90.0,90.0,89.0,89.0,1.0,91.0,-89.0,91.0,91.0,0.0,180.0,214.7559051513672,214.7559051513672,0.0,False,nan,nan,0.0,0.0,0.0,90.0,90.0,0.0,90.0,91.0,89.0,91.0,89.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,90.0,90.0,0.0,90.0,0.0,258.44049072265625,0.0,46.80889838116799,0.9996652632363161,19.291966055769873,0.8159164552723891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,475.87910294532776
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,120.0,120.0,119.0,-61.0,1.0,61.0,61.0,61.0,61.0,0.0,180.0,135.38015747070312,135.38015747070312,0.0,False,nan,nan,0.0,0.0,0.0,60.0,120.0,0.0,120.0,61.0,119.0,61.0,119.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,60.0,120.0,0.0,120.0,0.0,244.09771728515625,0.0,46.80889838116799,0.9996652632363161,18.108644145479783,0.7654384438022844,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,464.4516073167324
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,150.0,150.0,149.0,-31.0,1.0,31.0,31.0,31.0,31.0,0.0,180.0,127.76073455810547,127.76073455810547,0.0,False,nan,nan,0.0,0.0,0.0,30.0,150.0,0.0,150.0,31.0,149.0,31.0,149.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,30.0,150.0,0.0,150.0,0.0,248.2532501220703,0.0,46.80889838116799,0.9996652632363161,18.076839613413647,0.7632824891989501,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,459.56687070429325
orientation_batch_00,datasets/synthetic_orientation_512/orientation_batch_00.png,0.15,180.0,0.0,179.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,180.0,214.75575256347656,214.75575256347656,0.0,False,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,0.0,0.0,258.4408264160156,0.0,0.0,0.0,0.0,0.0,0.0,258.4408264160156,0.0,46.80889838116799,0.9996652632363161,19.291966055769873,0.8159164552723891,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,420.50952836871147
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,5.0,5.0,5.0,5.0,0.0,175.0,-5.0,175.0,175.0,0.0,180.0,166.99610900878906,166.99610900878906,0.0,False,nan,nan,0.0,0.0,0.0,175.0,5.0,0.0,5.0,175.0,5.0,175.0,5.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,175.0,5.0,0.0,5.0,0.0,250.35061645507812,0.0,46.68006028468871,0.9996514767369659,27.230286663222714,0.9701379324926386,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,664.0003435313702
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,10.0,10.0,9.0,9.0,1.0,171.0,-9.0,171.0,171.0,0.0,180.0,159.97543334960938,159.97543334960938,0.0,False,nan,nan,0.0,0.0,0.0,170.0,10.0,0.0,10.0,171.0,9.0,171.0,9.0,raw,1.0,1.0,0.0,0.0,258.4481201171875,0.0,170.0,10.0,0.0,10.0,0.0,248.75694274902344,0.0,46.68006028468871,0.9996514767369659,19.82847474413264,0.837076832276011,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,455.3925860673189
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,15.0,15.0,15.0,15.0,0.0,165.0,-15.0,165.0,165.0,0.0,180.0,165.0338592529297,165.0338592529297,0.0,False,nan,nan,0.0,0.0,0.0,165.0,15.0,0.0,15.0,165.0,15.0,165.0,15.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,165.0,15.0,0.0,15.0,0.0,251.24839782714844,0.0,46.68006028468871,0.9996514767369659,23.692885298523365,0.9302965213149594,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,466.6449800133705
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,30.0,30.0,30.0,30.0,0.0,150.0,-30.0,150.0,150.0,0.0,180.0,136.57437133789062,136.57437133789062,0.0,False,nan,nan,0.0,0.0,0.0,150.0,30.0,0.0,30.0,150.0,30.0,150.0,30.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,150.0,30.0,0.0,30.0,0.0,241.0730438232422,0.0,46.68006028468871,0.9996514767369659,20.931103529889526,0.8718367427286656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,479.5274045318365
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,45.0,45.0,45.0,45.0,0.0,135.0,-45.0,135.0,135.0,0.0,180.0,143.2846221923828,143.2846221923828,0.0,False,nan,nan,0.0,0.0,0.0,135.0,45.0,0.0,45.0,135.0,45.0,135.0,45.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,135.0,45.0,0.0,45.0,0.0,247.53512573242188,0.0,46.68006028468871,0.9996514767369659,20.348158731256497,0.8497040842095247,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,472.75725565850735
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,60.0,60.0,60.0,60.0,0.0,120.0,-60.0,120.0,120.0,0.0,180.0,121.98138427734375,121.98138427734375,0.0,False,nan,nan,0.0,0.0,0.0,120.0,60.0,0.0,60.0,120.0,60.0,120.0,60.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,120.0,60.0,0.0,60.0,0.0,245.73475646972656,0.0,46.68006028468871,0.9996514767369659,20.545945150176294,0.8584940297064495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,451.124407351017
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,75.0,75.0,75.0,75.0,0.0,105.0,-75.0,105.0,105.0,0.0,180.0,167.21328735351562,167.21328735351562,0.0,False,nan,nan,0.0,0.0,0.0,106.0,74.0,1.0,75.0,105.0,75.0,105.0,75.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,106.0,74.0,1.0,74.0,1.0,251.16839599609375,0.0,46.68006028468871,0.9996514767369659,22.97775220746388,0.9170736866907582,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,452.6835847645998
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,90.0,90.0,89.0,89.0,1.0,91.0,-89.0,91.0,91.0,0.0,180.0,202.22340393066406,202.22340393066406,0.0,False,nan,nan,0.0,0.0,0.0,90.0,90.0,0.0,90.0,91.0,89.0,91.0,89.0,raw,1.0,1.0,0.0,0.0,258.4481201171875,0.0,90.0,90.0,0.0,90.0,0.0,258.4478454589844,0.0,46.68006028468871,0.9996514767369659,19.746829675255462,0.837911789262185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,467.9144322872162
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,120.0,120.0,120.0,-60.0,0.0,60.0,60.0,60.0,60.0,0.0,180.0,136.57347106933594,136.57347106933594,0.0,False,nan,nan,0.0,0.0,0.0,60.0,120.0,0.0,120.0,60.0,120.0,60.0,120.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,60.0,120.0,0.0,120.0,0.0,241.07278442382812,0.0,46.68006028468871,0.9996514767369659,20.931103529889526,0.8718367427286656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,455.6102752685547
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,150.0,150.0,150.0,-30.0,0.0,30.0,30.0,30.0,30.0,0.0,180.0,121.98152923583984,121.98152923583984,0.0,False,nan,nan,0.0,0.0,0.0,30.0,150.0,0.0,150.0,30.0,150.0,30.0,150.0,raw,0.0,0.0,0.0,0.0,258.4481201171875,0.0,30.0,150.0,0.0,150.0,0.0,245.73448181152344,0.0,46.68006028468871,0.9996514767369659,20.545945150176294,0.8584940297064495,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,451.728755608201
orientation_batch_01,datasets/synthetic_orientation_512/orientation_batch_01.png,0.15,180.0,0.0,179.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,180.0,202.22291564941406,202.22291564941406,0.0,False,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,0.0,0.0,258.4481201171875,0.0,0.0,0.0,0.0,0.0,0.0,258.4481201171875,0.0,46.68006028468871,0.9996514767369659,19.746829675255462,0.837911789262185,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,428.9613142609596
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,5.0,5.0,4.0,4.0,1.0,176.0,-4.0,176.0,176.0,0.0,180.0,180.00823974609375,180.00823974609375,0.0,False,nan,nan,0.0,0.0,0.0,176.0,4.0,1.0,5.0,176.0,4.0,176.0,4.0,raw,1.0,1.0,0.0,0.0,258.69647216796875,0.0,176.0,4.0,1.0,4.0,1.0,251.5127716064453,0.0,46.405769896674784,0.9996358926326092,20.01742146539368,0.8467047949003182,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,429.0592297911644
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,10.0,10.0,10.0,10.0,0.0,170.0,-10.0,170.0,170.0,0.0,180.0,158.7064208984375,158.7064208984375,0.0,False,nan,nan,0.0,0.0,0.0,171.0,9.0,1.0,10.0,170.0,10.0,170.0,10.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,171.0,9.0,1.0,9.0,1.0,250.07717895507812,0.0,46.405769896674784,0.9996358926326092,24.972608965512112,0.9495202412207403,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,457.96248503029346
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,15.0,15.0,15.0,15.0,0.0,165.0,-15.0,165.0,165.0,0.0,180.0,167.50294494628906,167.50294494628906,0.0,False,nan,nan,0.0,0.0,0.0,166.0,14.0,1.0,15.0,165.0,15.0,165.0,15.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,166.0,14.0,1.0,14.0,1.0,252.53590393066406,0.0,46.405769896674784,0.9996358926326092,23.26941266091665,0.9257304948820709,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,469.0596777945757
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,30.0,30.0,30.0,30.0,0.0,150.0,-30.0,150.0,150.0,0.0,180.0,143.55491638183594,143.55491638183594,0.0,False,nan,nan,0.0,0.0,0.0,151.0,29.0,1.0,30.0,150.0,30.0,150.0,30.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,151.0,29.0,1.0,29.0,1.0,239.75387573242188,0.0,46.405769896674784,0.9996358926326092,20.802932022722732,0.8725366342509467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,499.9429602175951
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,45.0,45.0,45.0,45.0,0.0,135.0,-45.0,135.0,135.0,0.0,180.0,123.7173843383789,123.7173843383789,0.0,False,nan,nan,0.0,0.0,0.0,135.0,45.0,0.0,45.0,135.0,45.0,135.0,45.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,135.0,45.0,0.0,45.0,0.0,245.39865112304688,0.0,46.405769896674784,0.9996358926326092,20.689080182257044,0.869031055973458,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,447.7120265364647
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,60.0,60.0,60.0,60.0,0.0,120.0,-60.0,120.0,120.0,0.0,180.0,117.40859985351562,117.40859985351562,0.0,False,nan,nan,0.0,0.0,0.0,120.0,60.0,0.0,60.0,120.0,60.0,120.0,60.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,120.0,60.0,0.0,60.0,0.0,244.5640869140625,0.0,46.405769896674784,0.9996358926326092,21.10146621200695,0.881908334932568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,455.5248972028494
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,75.0,75.0,75.0,75.0,0.0,105.0,-75.0,105.0,105.0,0.0,180.0,161.75148010253906,161.75148010253906,0.0,False,nan,nan,0.0,0.0,0.0,106.0,74.0,1.0,75.0,105.0,75.0,105.0,75.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,106.0,74.0,1.0,74.0,1.0,257.797119140625,0.0,46.405769896674784,0.9996358926326092,23.021537360287976,0.9217452152225268,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,461.37807331979275
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,90.0,90.0,89.0,89.0,1.0,91.0,-89.0,91.0,91.0,0.0,180.0,207.46633911132812,207.46633911132812,0.0,False,nan,nan,0.0,0.0,0.0,90.0,90.0,0.0,90.0,91.0,89.0,91.0,89.0,raw,1.0,1.0,0.0,0.0,258.69647216796875,0.0,90.0,90.0,0.0,90.0,0.0,258.6961669921875,0.0,46.405769896674784,0.9996358926326092,19.825574449374344,0.8424822914162248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,441.8024495244026
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,120.0,120.0,120.0,-60.0,0.0,60.0,60.0,60.0,60.0,0.0,180.0,143.55389404296875,143.55389404296875,0.0,False,nan,nan,0.0,0.0,0.0,61.0,119.0,1.0,120.0,60.0,120.0,60.0,120.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,61.0,119.0,1.0,119.0,1.0,239.7542724609375,0.0,46.405769896674784,0.9996358926326092,20.802932022722732,0.8725366342509467,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,454.10896837711334
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,150.0,150.0,150.0,-30.0,0.0,30.0,30.0,30.0,30.0,0.0,180.0,117.40846252441406,117.40846252441406,0.0,False,nan,nan,0.0,0.0,0.0,30.0,150.0,0.0,150.0,30.0,150.0,30.0,150.0,raw,0.0,0.0,0.0,0.0,258.69647216796875,0.0,30.0,150.0,0.0,150.0,0.0,244.5637969970703,0.0,46.405769896674784,0.9996358926326092,21.10146621200695,0.881908334932568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,450.10121166706085
orientation_batch_02,datasets/synthetic_orientation_512/orientation_batch_02.png,0.15,180.0,0.0,179.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,180.0,207.46609497070312,207.46609497070312,0.0,False,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,180.0,1.0,179.0,1.0,179.0,raw,1.0,1.0,0.0,0.0,258.69647216796875,0.0,0.0,0.0,0.0,0.0,0.0,258.69647216796875,0.0,46.405769896674784,0.9996358926326092,19.825574449374344,0.8424822914162248,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,419.02292519807816
orientation_batch_03,datasets/synthetic_orientation_512/orientation_batch_03.png,0.15,5.0,5.0,4.0,4.0,1.0,176.0,-4.0,176.0,176.0,0.0,180.0,201.166748046875,201.166748046875,0.0,False,nan,nan,0.0,0.0,0.0,176.0,4.0,1.0,5.0,176.0,4.0,176.0,4.0,raw,1.0,1.0,0.0,0.0,259.2130126953125,0.0,176.0,4.0,1.0,4.0,1.0,250.7471923828125,0.0,46.98133406426904,0.999676807852826,20.206250640691795,0.8540958554937651,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,441.1412365734577
